BrowseAuthor,BrowseTitle,PublicationYear,CallNumber,TotalItemLifetimeCircCount,TotalItemYTDCircCount,,Call No. Color Code
,"The complete America's Test Kitchen TV show cookbook, 2001-2021",2020,641.5 COM,18,2,,
"Drummond, Ree, author.","The pioneer woman cooks : super easy! : 120 shortcut recipes for dinners, desserts, and more",2021,641.5 DRU,18,2,,
"Sifton, Sam, author.",See you on Sunday : a cookbook for family and friends,2019,641.5 SIF,18,2,,
"Richardson, Patric, author.",Laundry love : finding joy in a common chore,2021,648 RIC,18,2,,
"Davies, Simone, author.",The Montessori toddler : planting the seeds to grow a curious and responsible human being,2019,649.1 DAV,18,2,,
"Wagner, Jen, author.",Happy hand lettering : simple calligraphy techniques to bring your words to life,2017,745.61 WAG,18,2,,
"Darling, Ron, author.","108 stitches : loose threads, ripping yarns, and the darndest characters from my time in the game",2019,796.357 DAR,18,2,,
"Sedaris, David, author.",The best of me,2020,818.54 SED,18,2,,
"Snowden, Edward J., 1983- author.",Permanent Record,2019,"BIOG SNOWDEN,E SNO",18,2,,
"Jackson, Laura Lynne, author.",Signs : the secret language of the universe,2019,133.9 JAC,18,1,,
"Cook, Vicki, author.","Estate planning 101 : from avoiding probate and assessing assets to establishing directives and understanding taxes, your essential primer to estate planning",2021,332.024 COO,18,1,,
"Gryta, Thomas, author.","Lights out : pride, delusion, and the fall of General Electric",2020,338.7 GRY,18,1,,
"O'Reilly, Bill, author.",Killing the killers : the secret war against terrorists,2022,363.325 ORE,18,1,,
"Gates, Bill, 1955- author.",How to avoid a climate disaster : the solutions we have and the breakthroughs we need,2020,363.738 GAT,18,1,,
"Jespersen, Neil D., author",Barron's AP chemistry,2018,378.1662 AP-CHEM BAR,18,1,,
"Sibley, David, 1961- author, illustrator.","What it's like to be a bird : from flying to nesting, eating to singing -- what birds are doing, and why",2020,598 SIB,18,1,,
"Cole, Will (Functional medicine expert)",The inflammation spectrum : find your food triggers and reset your system,2019,616.0473 COL,18,1,,
,"100 techniques : master a lifetime of cooking skills, from basic to bucket list",2020,641.5 ONE,18,1,,
,"Better Homes and Gardens fast or slow : delicious meals for slow cookers, pressure cookers, or multicookers.",2018,641.5884 BET,18,1,,
"Rainey, Jenna, 1989- author.","Everyday watercolor flowers : a modern guide to painting blooms, leaves, and stems step by step",2019,751.422 RAI,18,1,,
"Matzen, Robert D., author.",Dutch girl : Audrey Hepburn and World War II,2019,"BIOG HEPBURN,A MAT",18,1,,
"Hagos, Ted, author",Learn Android Studio 3 with Kotlin : efficient Android app development,2018,005.1 ANDROID STUDIO 3 HAG,18,0,,
"Mueller, John, 1958- author.",C# 7.0 All-in-One,2017,005.133 C# DUM,18,0,,
"Greer, John Michael, author.",The occult book : a chronological journey from alchemy to wicca,2017,133.43 GRE,18,0,,
"Levitsky, Steven, author.",How democracies die,2018,321.8 LEV,18,0,,
"Koffler, Rebekah, author.",Putin's playbook : Russia's secret plan to defeat America,2020,327.47 KOF,18,0,,
"Town, Danielle, author.","Invested : how Warren Buffett and Charlie Munger taught me to master my mind, my emotions, and my money (with a little help from my dad)",2018,332.6 TOW,18,0,,
,Cracking the AP physics 1 exam,2018,378.1662 AP-PHYS 1 PRI,18,0,,
"Stewart, Martha, author.",The Martha manual : how to do (almost) everything,2019,640 STE,18,0,,
"McClellan, Marisa, author.","The food in jars kitchen : 140 ways to cook, bake, plate, and share your homemade pantry",2019,641.5 MCC,18,0,,
"Coscarelli, Chloe, author.","Chloe flavor : saucy, spicy, crunchy, vegan",2018,641.5636 COS,18,0,,
"Day, Aaron, (Nutritional therapist) author.","Keto sweet tooth cookbook : 80 low-carb ketogenic dessert recipes for cakes, cookies, pies, fat bombs, shakes, ice cream, and more",2019,641.5638 DAY,18,0,,
"Jaffrey, Madhur, 1933- author.",Madhur Jaffrey's instantly Indian cookbook : modern and classic recipes for the Instant Pot,2019,641.5954 JAF,18,0,,
,Bowls : vibrant recipes with endless possibilities.,2020,641.82 BOW,18,0,,
"Chang, Joanne, author.",Pastry love,2019,641.865 CHA,18,0,,
"Roman, Alison, author.",Nothing fancy : unfussy food for having people over,2019,642.4 ROM,18,0,,
,Vogue knitting : the ultimate knitting book,2018,746.432 VOG,18,0,,
"O'Reilly, Bill, author.",Killing the SS : the hunt for the worst war criminals in history,2018,940.5318 ORE,18,0,,
"Herrin, Judith, author.","Ravenna : capital of empire, crucible of Europe",2020,945.4 HER,18,0,,
"Leonnig, Carol, author.",I alone can fix it : Donald J. Trump's catastrophic final year,2021,973.933 LEO,18,0,,
"Wolff, Michael, 1953- author.",Siege : Trump under fire,2019,973.933 WOL,18,0,,
"Broom, Sarah M., author.",The yellow house,2019,"BIOG BROOM,S BRO",18,0,,
"Patterson, James, 1947- author.",The defense lawyer : the Barry Slotnick story,2021,"BIOG SLOTNICK,B PAT",18,0,,
"Brower, Kate Andersen, author.",Elizabeth Taylor : the grit & glamour of an icon,2022,"BIOG TAYLOR,E BRO",17,14,,
"O'Reilly, Bill, author.",Killing the legends : the lethal danger of celebrity,2022,306.48 ORE,17,9,,
"Rockefeller, Barbara, 1946- author.",Technical analysis for dummies,2020,332.6 DUM,17,7,,
"Purewal, Nina, author.",Let that sh*t go : find peace of mind and happiness in your everyday,2021,158.1 PUR,17,6,,
"Boehm, Anne, author.",Murach's HTML5 and CSS3,2018,006.74 HTML5 CSS3 BOE,17,5,,
"Borba, Michele, author.",Thrivers : the surprising reasons why some kids struggle and others shine,2021,155.4 BOR,17,5,,
"Gleeson, Brent, author.",Embrace the suck : the Navy SEAL way to an extraordinary life,2020,158 GLE,17,5,,
"Weinman, Sarah, author.","Scoundrel : how a convicted murderer persuaded the women who loved him, the conservative establishment, and the courts to set him free",2022,364.1523 WEI,17,5,,
"Robbins, Anthony, author.",Life force : how new breakthroughs in precision medicine can transform the quality of your life & those you love,2022,613 ROB,17,5,,
,"The complete one pot : 400 meals : skillet, sheet pan, Instant Pot, Dutch oven + more",2020,641.82 COM,17,5,,
"Sedaris, David, author.",Happy-go-lucky,2022,814.54 SED,17,5,,
,Florence and Tuscany,2021,914.55 FLO,17,5,,
,Naples and the Amalfi Coast.,2021,914.573 NAP,17,5,,
,Fodor's Florida 2019.,2018,917.59 FOD,17,5,,
"Boobyer, Victoria, author.","English for everyone course book. Level 4, Advanced",2016,ESL 428.24 ENG,17,5,,
"Murphy, Kate (Journalist), author.",You're not listening : what you're missing and why it matters,2020,153.6 MUR,17,4,,
"Erikson, Thomas, 1965- author.",Surrounded by idiots : the four types of human behavior and how to effectively communicate with each in business (and in life),2019,302.2 ERI,17,4,,
"Sheehan, Jessie, author.",Snackable bakes : 100 easy-peasy recipes for exceptionally scrumptious sweets and treats,2022,641.86 SHE,17,4,,
"Rodsky, Eve, author.",Fair play : a game-changing solution for when you have too much to do (and more life to live),2019,650.1082 ROD,17,4,,
"Tranaeus, Thomas, author.",Top 10 Lisbon,2019,914.6942 LIS,17,4,,
,Arizona & the Grand Canyon.,2021,917.91 FOD,17,4,,
"Gupta, Sanjay, 1969- author.",Keep sharp : build a better brain at any age,2021,153.4 GUP,17,3,,
"Amen, Daniel G., author.","Your brain is always listening : tame the hidden dragons that control your happiness, habits, and hang-ups",2021,158.1 AME,17,3,,
,SAT premium prep 2022,2021,378.1662 SAT PRI,17,3,,
"Borman, David, author.","Statistics 101 : from data analysis and predictive modeling to measuring distribution and determining probability, your essential guide to statistics",2018,519.5 BOR,17,3,,
"Barkley, Russell A., 1949- author.",12 principles for raising a child with ADHD,2021,618.92 BAR,17,3,,
"Cho, Kristina, author, photographer.",Mooncakes & milk bread : sweet & savory recipes inspired by Chinese bakeries,2021,641.5951 CHO,17,3,,
"Peppler, Rebekah, author.",ApÃ©ritif : cocktail hour the French way,2018,641.874 PEP,17,3,,
"Cochran, Jason, author.",Frommer's easyguide to London 2020,2020,914.21 FRO,17,3,,
,"Frommer's : easyguide to Paris, 2020",2020,914.436 FRO,17,3,,
"Bell, Loren (Travel writer), author.",Grand Canyon National Park,2021,917.9132 LON,17,3,,
"Couric, Katie, 1957- author.",Going there,2021,"BIOG COURIC,K COU",17,3,,
"Grohl, David, author.",The storyteller : tales of life and music,2021,"BIOG GROHL,D GRO",17,3,,
"Wang, Qian Julie, 1987- author.",Beautiful country : a memoir,2021,"BIOG WANG,Q WAN",17,3,,
"Bayer, Mike, author.","Best self : be you, only better",2019,158.1 BAY,17,2,,
"Barr, Beth Allison, author.",The making of biblical womanhood : how the subjugation of women became gospel truth,2021,220.8 BAR,17,2,,
"Sheldrake, Merlin, author.","Entangled life : how fungi make our worlds, change our minds & shape our futures",2020,579.5 SHE,17,2,,
"Porowski, Antoni, author.",Antoni : let's do dinner,2021,641.5 POR,17,2,,
"Clark, Melissa, author.",Dinner in French : my recipes by way of France,2020,641.5944 CLA,17,2,,
"Tosi, Christina, author.",All about cake,2018,641.8653 TOS,17,2,,
,"Good Housekeeping the best-ever cookie book : 175 tested-'til-perfect recipes for crispy, chewy & ooey-gooey treats",2021,641.8654 GOO,17,2,,
NhÃ¢Ì,This moment is full of wonders : the Zen calligraphy of Thich Nhat Hanh,2015,745.61 NHA,17,2,,
"Morgan, Cristin, author.",Hoop dreams : modern hand embroidery,2018,746.44 MOR,17,2,,
"O'Reilly, Bill, author.",Killing Crazy Horse : the merciless Indian wars in America,2020,970.004 ORE,17,2,,
"Duran, Elvis, author.",Where do I begin? : stories from a life lived out loud,2019,"BIOG DURAN,E DUR",17,2,,
"Wong, Ali, author.","Dear girls : intimate tales, untold secrets, and advice for living your best life",2019,"BIOG WONG,A WON",17,2,,
"Climo, Liz, author, artist.",Best bear ever! : a little year of,2018,GRAPHIC 741.56 CLI,17,2,,
"Sierra, Kathy, author.",OCA Java SE 8 programmer I exam guide (exam 1Z0-808),2017,005.133 JAVA SIE,17,1,,
"Kahneman, Daniel, 1934- author.",Noise : a flaw in human judgment,2021,153.8 KAH,17,1,,
"Nagoski, Emily, author.",Burnout : the secret to unlocking the stress cycle,2019,155.9 NAG,17,1,,
"Douglas, John E., author.","When a killer calls : a haunting story of murder, criminal profiling, and justice in a small town",2022,364.1523 DOU,17,1,,
"Kronner, Christopher., author.",A burger to believe in : recipes and fundamentals,2017,641.662 KRO,17,1,,
"Bernard, Wendy (Wendy Jo), author.","Japanese stitches unraveled : 160+ stitch patterns to knit top down, bottom up, back and forth, and in the round",2018,746.432 BER,17,1,,
"Hyden, Steven, 1977- author.",This isn't happening : Radiohead's Kid A and the beginning of the 21st century,2020,782.4216 HYD,17,1,,
,Frommer's Arizona and the Grand Canyon,2019,917.91 FRO,17,1,,
"Cooper, Jeanne, author.",Frommer's Hawaii 2020,2020,919.69 FRO,17,1,,
"John, Elton, author.",Me : Elton John official autobiography,2019,"BIOG JOHN,E JOH",17,1,,
"Mildon, Emma, author.",Evolution of goddess : a modern girl's guide to activating your feminine superpowers,2018,202.114 MIL,17,0,,
NhaÌ‚Ì,How to relax,2015,294.344 NHA,17,0,,
"Keinan, Tal, author.",God is in the crowd,2018,305.892 KEI,17,0,,
"Green, John, 1977- author.",The Anthropocene reviewed : essays on a human-centered planet,2021,306 GRE MAHW HS SUMMER READING 2023,17,0,,
"Zuboff, Shoshana, 1951- author.",The age of surveillance capitalism : the fight for a human future at the new frontier of power,2018,306.3 ZUB,17,0,,
"Stent, Angela, author.",Putin's world : Russia against the West,2019,327.47 STE,17,0,,
"Crabtree, James, 1977- author.",The billionaire raj : a journey through India's new gilded age,2018,330.954 CRA,17,0,,
"Ananthaswamy, Anil, author.",Through two doors at once : the elegant experiment that captures the enigma of our quantum reality,2018,530.12 ANA,17,0,,
"Amen, Daniel G., author.","Feel better fast and make it last : unlock your brain's healing potential to overcome negativity, anxiety, anger, stress, and trauma",2018,612.82 AME,17,0,,
"Sanders, Lisa, 1956- author.",Diagnosis : solving the Most Baffling Medical Mysteries,2019,616 SAN,17,0,,
"Doane, Morgan, author.",How to raise a plant : and make It love you back,2018,635 DOA,17,0,,
"Porowski, Antoni, author.",Antoni in the kitchen,2019,641.5 POR,17,0,,
"Pelzel, Raquel, author.",Umami bomb : 75 vegetarian recipes that explode with flavor,2019,641.5636 PEL,17,0,,
,Tasting Italy : a culinary journey,2018,641.5945 TAS,17,0,,
"Raichlen, Steven, author.",How to grill vegetables : the new bible for barbecuing vegetables over live fire,2021,641.65 RAI,17,0,,
"Bertinet, Richard.",Crumb : show the dough who's boss,2019,641.815 BER,17,0,,
"Laforme, Joy, author.","Folk art fusion : Americana : learn to draw and paint charming American folk art with a colorful, modern twist",2018,745 LAF,17,0,,
"Cherry, Meri, author.","Play, make, create, a process-art handbook : with 43 art invitations for kids",2019,745.5 CHE,17,0,,
"Branch, John (Sports reporter), author.",Sidecountry : tales of death and life from the back roads of sports,2021,796 BRA,17,0,,
"Walker, Sam (Newspaper editor), author.",The captain class : the hidden force that creates the world's greatest teams,2017,796.019 WAL,17,0,,
"Lovelace, Amanda, author.",To make monsters out of girls,2018,811.6 LOV,17,0,,
"Crosley, Sloane, author.",Look alive out there : essays,2018,814.6 CRO,17,0,,
"Rose, Sarah, 1974- author.",D-Day girls : the untold story of the female spies who helped win World War Two,2019,940.5486 ROS,17,0,,
"Donohue, John, author.","The greatest  beer run ever : a memoir of friendship, loyalty, and war",2020,959.7 DON,17,0,,
"Delbanco, Andrew, 1952- author.",The war before the war : fugitive slaves and the struggle for America's soul from the Revolution to the Civil War,2018,973.7115 DEL,17,0,,
"Bastianich, Lidia, author.","My American dream : a life of love, family, and food",2018,"BIOG BASTIANICH,L BAS",17,0,,
"Jayne, Erika author.",Pretty mess,2018,"BIOG JAYNE,E JAY",17,0,,
"Hsu, Hua, 1977- author.",Stay true : a memoir,2022,"BIOG HSU,H HSU",16,11,,
"Holiday, Ryan, author.",Lives of the stoics : the arts of living from Zeno to Marcus Aurelius,2020,188 HOL,16,6,,
"Heslin, Nancy, author.",Fodor's Paris 2022,2022,914.436 FOD,16,6,,
"Kogan, Nataly, author.","The awesome human project : how to break free from daily burnout, struggle less, and thrive more in work and life",2022,158 KOG,16,5,,
"Cunningham, Antonia, author.",Top 10 Copenhagen,2018,914.8913 COP,16,5,,
,Fodor's South Florida,2019,917.59 FOD,16,5,,
"ê¹€ ë¯¼ì •, author.",ë°,2018,KOREAN 641.5622 KIM,16,5,,
"Gerard, Tieghan, author.","Half baked harvest every day : recipes for balanced, flexible, feel-good meals",2021,641.5 GER,16,4,,
"Agatston, Arthur, author.",The new keto-friendly South Beach diet : rev your metabolism and improve your health with the latest science of weight loss,2019,641.5638 AGA,16,4,,
"America's Test Kitchen (Firm), author.",The complete summer cookbook : beat the heat with 500 recipes that make the most of summer's bounty,2020,641.564 AME,16,4,,
,"Fodor's : Essential Spain, 2019",2017,914.6 FOD,16,4,,
"Jepson, Tim, author.",MontrÃ©al 25 Best,2018,917.1427 FOD,16,4,,
"Sancton, Julian, author.",Madhouse at the end of the Earth : the Belgica's journey into the dark Antarctic night,2021,919.89 SAN,16,4,,
"Davis, Viola, 1965- author.",Finding me,2022,"BIOG DAVIS,V DAV",16,4,,
"DeSteno, David, author.","Emotional success : the power of gratitude, compassion, and pride",2018,152.4 DES,16,3,,
"Eger, Edith Eva, author.",The gift : 12 lessons to save your life,2020,155.93 EGE,16,3,,
GarcÃ,"The book of ichigo ichie : the art of making the most of every moment, the Japanese way",2019,158.1 GAR,16,3,,
"Stone, Martin, 1948- author.",Real estate investing for everyone : a guide to creating financial freedom,2019,332.6324 STO,16,3,,
"Foner, Eric, 1943-",The second founding : how the Civil War and Reconstruction remade the constitution,2019,342.73 FON,16,3,,
"Lieberman, Daniel, 1964- author.",Exercised : why something we never evolved to do is healthy and rewarding,2020,612 LIE,16,3,,
"Hill, Sarah E., author.","This is your brain on birth control : the surprising science of sex, women, hormones, and the law of unintended consequences",2019,613.9 HIL,16,3,,
"Senyei, Kelly, author.",The secret ingredient cookbook : 125 family-friendly recipes with surprisingly tasty twists,2021,641.5 SEN,16,3,,
"Lloyd, Bobbie, author.",The Magnolia Bakery handbook : a complete guide for the home baker : baking made easy with 150 foolproof recipes & techniques,2020,641.865 LLO,16,3,,
"Coop, Christiana, author.",Hygge & West Home,2018,747 COO,16,3,,
"LimÃ³n, Ada, author.",The carrying : poems,2018,811.6 LIM,16,3,,
"Brooks, Mel, 1926- author.",All about me! : my remarkable life in show business,2021,"BIOG BROOKS,M BRO",16,3,,
"Patterson, James, 1947- author.",James Patterson by James Patterson : the stories of my life.,2022,"BIOG PATTERSON,J PAT",16,3,,
"JÃ¤gare, Ulrika, author.",Data science strategy for dummies,2019,005 DUM,16,2,,
"Sierra, Kathy, author.",OCP Java SE 8 programmer II exam guide (exams 1Z0-809),2018,005.133 JAVA SIE,16,2,,
"Carter, Alexandra, author.",Ask for more : 10 questions to negotiate anything,2020,302.3 CAR,16,2,,
"Stavridis, James, author.",Sea power : the history and geopolitics of the world's oceans,2017,359 STA,16,2,,
"Topol, Eric J., 1954- author.",Deep medicine : how artificial intelligence can make healthcare human again,2019,362.1 TOP,16,2,,
,"All we can save : truth, courage, and solutions for the climate crisis",2020,363.7 ALL,16,2,,
"Ehrenhaft, George, author.",Barron's SAT writing workbook,2019,378.1662 SAT BAR,16,2,,
"Khoo, Rachel, author.",The little Swedish kitchen : over 100 recipes to celebrate every season,2018,641.5948 KHO,16,2,,
"DeCarlo, Laura, author.",Resumes for dummies,2019,650.14 DUM,16,2,,
"Horn, Dara, 1977- author.",People love dead Jews : reports from a haunted present,2021,909.0492 HOR,16,2,,
"Tishby, Noa, 1977- author.",Israel : a simple guide to the most misunderstood country on earth,2021,956.94 TIS,16,2,,
"Michaelis, David, 1957- author.",Eleanor,2020,"BIOG ROOSEVELT,E MIC",16,2,,
"Westover, Tara, author.",Educated [large print] : a memoir,2018,"LP BIOG WESTOVER,T WES",16,2,,
"Kleon, Austin, author.",Keep going : 10 ways to stay creative in good times and bad,2019,153.35 KLE,16,1,,
"McAlary, Brooke, author.",Slow : simple living for a frantic world,2018,158.1 MCA,16,1,,
"Taylor, Barbara Brown, author.",Holy envy : finding God in the faith of others,2019,261.2 TAY,16,1,,
"Lewandowski, Corey R.",Trump's enemies : how the deep state is undermining the presidency,2018,320 LEW,16,1,,
"Rush, Sandra, author.","Praxis core : reading (5712), writing (5722), mathematics (5732)",2019,370.76 PRA REA,16,1,,
"Rombauer, Irma S., 1877-1962, author.",Joy of cooking.,2019,641.5 ROM,16,1,,
"Cristofano, Jana, author.","Eat well, be well : 100+ healthy re-creations of the food you crave : plant based, Gluten-free, refined sugar-free",2020,641.5636 CRI,16,1,,
,"Martha Stewart's pressure cooker : 100+ fabulous new recipes for the pressure cooker, multicooker, and Instant Pot",2018,641.587 MAR,16,1,,
"Fry, Ford, author.","Tex-Mex : traditions, innovations, and comfort foods from both sides of the border",2019,641.5972 FRY,16,1,,
,"Cook's illustrated revolutionary recipes : groundbreaking techniques, compelling voices, one-of-a-kind recipes.",2018,641.5973 COO,16,1,,
"Kord, Tyler, author.",Food52 dynamite chicken : 60 never-boring recipes for your favorite bird,2019,641.665 KOR,16,1,,
,Possible minds : twenty-five ways of looking at AI,2019,006.3 POS,16,0,,
PBS (COR),The book of books : explore America's 100 best-loved novels,2018,016.8 BOO,16,0,,
"Stelter, Brian, author.","Hoax : Donald Trump, Fox News, and the dangerous distortion of the truth",2020,070.4 STE,16,0,,
"Franklin, Anna author.","The hearth witch's kitchen herbal : culinary herbs for magic, beauty, and health",2019,133.43 FRA,16,0,,
"Kilgariff, Karen, author.",Stay sexy & don't get murdered : the definitive how-to guide,2019,155.3 KIL,16,0,,
"Asprey, Dave, author.","Game changers : what leaders, innovators, and mavericks do to win at life",2018,158.1 ASP,16,0,,
"De la Rosa, Ralph, author.",The monkey is the messenger : meditation and what your busy mind is trying to tell you,2018,158.12 DEL,16,0,,
"De Courcy, Anne, author.",The husband hunters : American heiresses who married into the British aristocracy,2018,305.48 DEC,16,0,,
"Carlson, Tucker, author.",Ship of fools : how a selfish ruling class is bringing America to the brink of revolution,2018,305.52 CAR,16,0,,
"Guo, Winona, author.","Tell me who you are : sharing our stories of race, culture, & identity",2019,305.8 GUO,16,0,,
"Hager, Jenna Bush, 1981- author.",Everything beautiful in its time : seasons of love and loss,2020,306.874 HAG,16,0,,
"Friedman, Matti, author.",Spies of no country : secret lives at the birth of Israel,2019,327.1256 FRI,16,0,,
"Blinder, Alan S., author.",Advice and dissent : why America suffers when economics and politics collide,2018,330.973 BLI,16,0,,
"Marks, Howard S., author.",Mastering the market cycle : getting the odds on your side,2018,332.6 MAR,16,0,,
"Clifford, Denis, author.",Plan your estate,2020,346.73 NOL,16,0,,
,Profiles of American colleges 2019,2018,378.73 BAR,16,0,,
"Alexander, Amir R., author.",Proof! : how the world became geometrical,2019,516 ALE,16,0,,
"LeVeque, Kelly, author.",Body love every day : choose your life-changing 21-day path to food freedom,2019,613.25 LEV,16,0,,
,Pharmacy technician exam.,2017,615.1076 PHA,16,0,,
"Laprade, Robert F., author.","The Knee Injury Bible : Everything You Need to Know About Knee Injuries, How to Treat Them, and How They Affect Your Life",2019,617.58 LAP,16,0,,
"Donovan, Jim, 1954- author.",Shoot for the moon : the space race and the extraordinary voyage of Apollo 11,2019,629.45 DON,16,0,,
"Sernaglia, Carlo, author.","Margaritaville, the cookbook : relaxed recipes for a taste of Paradise",2018,641.5 SER,16,0,,
"Hezel, Anna, author.",Lasagna : a baked pasta cookbook,2019,641.5945 HEZ,16,0,,
"Toombs, Dan, author.",The curry guy : recreate 100 of the best Indian restaurant recipes at home,2017,641.5954 TOO,16,0,,
,Tasty dessert : all the sweet you can eat.,2019,641.85 TAS,16,0,,
"Ludwinski, Lisa, author.",Sister Pie : the recipes & stories of a big-hearted bakery in Detroit,2018,641.8652 LUD,16,0,,
"Roberts, Ralph R., 1958- author.",Flipping houses for dummies,2017,643.12 ROB,16,0,,
"Michaels, Melissa, 1967-","Dwelling : simple ways to nourish your home, body, & soul",2019,646.7 MIC,16,0,,
,Birnbaum's Walt Disney World : the official vacation guide 2020 : expert advice from the inside source,2019,917.5924 BIR,16,0,,
"Bigg, Margot, author.",Fodor's Oregon,2020,917.95 FOD,16,0,,
"Belton, Catherine, author.",Putin's people : how the KGB took back Russia and then took on the West,2020,947 BEL,16,0,,
"Trump, Mary L.",Reckoning : our nation's trauma and finding a way to heal.,2021,973.933 TRU,16,0,,
"Schreckinger, Ben, author.",The Bidens : inside the first family's fifty-year rise to power,2021,"BIOG BIDEN,J SCH",16,0,,
"Krug, Nora, author, illustrator",Belonging : a German reckons with home and history,2018,"BIOG KRUG,N KRU",16,0,,
"Brosh, Allie.","Hyperbole and a half : unfortunate situations, flawed coping mechanisms, mayhem, and other things that happened",2013,"GRAPHIC BIOG BROSH,A BRO",16,0,,
,The fundamentals of travel photography [videorecording (DVD)],2017,KIT 778.9 KRI,16,0,,
"Ehrenreich, Barbara, author.","Natural causes [large print] : an epidemic of wellness, the certainty of dying, and killing ourselves to live longer",2018,LP 306.9 EHR,16,0,,
"KondoÌ„, Marie, author.",Marie Kondo's kurashi at home : how to organize your space and achieve your ideal life,2022,648 KON,15,11,,
"Karadsheh, Suzy, author.",The Mediterranean dish : 120+ bold Mediterranean recipes for more joy at the table,2022,641.5918 KAR,15,7,,
"Nicholson, Louise, 1954- author.",Fodor's 25 best. London,2020,914.21 FOD,15,7,,
"Petrocelli, John V. author.",The life-changing science of detecting bullshit,2021,153.4 PET,15,6,,
"Oyeneyin, Tunde, author.","Speak : find your voice, trust your gut, and get from where you are to where you want to be",2022,158.1 OYE,15,6,,
"Hossenfelder, Sabine, 1976- author.",Lost in math : how beauty leads physics astray,2018,530.15 HOS,15,6,,
"Yong, Ed, author.",An immense world : how animal senses reveal the hidden realms around us,2022,591.5 YON,15,6,,
"Elkins, Caroline, author.",Legacy of violence : a history of the British empire,2022,909 ELK,15,6,,
"Koonin, Steven E., author.","Unsettled : what climate science tells us, what it doesn't, and why it matters",2021,363.738 KOO,15,5,,
"Lustig, Robert H., author.","Metabolical : the lure and the lies of processed food, nutrition, and modern medicine",2021,616 LUS,15,5,,
,Netherlands,2020,914.92 NET,15,5,,
"Davis, William, 1957- author.","Super gut : a four-week plan to reprogram your microbiome, restore health, and lose weight",2022,612.3 DAV,15,4,,
"Cohen, Dana, author.","Quench : beat fatigue, drop weight, and heal your body through the new science of optimum hydration",2018,613.2 COH,15,4,,
"Snodgrass, Alex, author.","The comfortable kitchen : 105 laid-back, healthy, and wholesome recipes",2021,641.5 SNO,15,4,,
"Hay, Donna, author.",Everyday fresh : meals in minutes,2020,641.555 HAY,15,4,,
"Brandon, Pam, author.",Delicious Disney : Walt Disney World : recipes & stories from the most magical place on Earth,2022,641.5975 BRA,15,4,,
,"Martha Stewart's cake perfection : 100+ recipes for the sweet classic, from simple to stunning",2020,641.8653 MAR,15,4,,
"Fadell, Tony, 1969- author.",Build : an unorthodox guide to making things worth making,2022,658.421 FAD,15,4,,
,France,,914.4 FRA,15,4,,
,Fodor's the Carolinas & Georgia,2021,917.5 FOD,15,4,,
"Klein, Jessi, 1975- author.",I'll show myself out : essays on midlife & motherhood,2022,"BIOG KLEIN,J KLE",15,4,,
"Brackett, Marc A., author.","Permission to feel : unlocking the power of emotions to help our kids, ourselves, and our society thrive",2019,152.4 BRA,15,3,,
"Byrne, Rhonda, author.","The secret to love, health, and money : a masterclass",2022,158.1 BYR,15,3,,
"Lakhiani, Vishen, author.",The buddha and the badass : the secret spiritual art of succeeding at work,2020,158.1 LAK,15,3,,
"Michalsen, Andreas, author.",The nature cure : a doctor's guide to the science of natural medicine,2019,615.5 MIC,15,3,,
"Wong, Cecily, author.",Gastro obscura : a food adventurer's guide,2021,641.3 WON,15,3,,
"Baz, Molly, author.",Cook this book : techniques that teach & recipes to repeat,2021,641.5 BAZ,15,3,,
"America's Test Kitchen (Firm), author.","Five-ingredient dinners : 100+ fast, flavorful meals",2021,641.512 FIV,15,3,,
"McCartney, Linda, author.",Linda McCartney's family kitchen : over 90 plant-based recipes to save the planet and nourish the soul,2021,641.5636 MCC,15,3,,
LoÌ,The wok : recipes and techniques,2022,641.5951 LOP,15,3,,
"Doyle, Brian, 1956 November 6-2017 May 27, author.",One long river of song : notes on wonder,2019,814.6 DOY,15,3,,
,Birnbaum's Walt Disney World : the official vacation guide 2022.,2021,917.5924 BIR,15,3,,
"Cost, Jay, author.","The Price of Greatness : Alexander Hamilton, James Madison, and the Creation of American Oligarchy",2018,973.26 COS,15,3,,
"Haberman, Maggie, author.",Confidence man : the making of Donald Trump and the breaking of America,2022,973.933 HAB,15,3,,
"Barber, Andrea, 1976- author.",Full circle : from Hollywood to real life and back again,2019,"BIOG BARBER,A BAR",15,3,,
"Bertinelli, Valerie, 1960- author.",Enough already : learning to love the way I am today,2022,"BIOG BERTINELLI,V BER",15,3,,
"Vandome, Nick, author.",Windows 10 : in easy steps,2017,005.446 WINDOWS 10 VAN,15,2,,
"Kissinger, Henry, 1923- author.",The age of A. I. : and our human future,2021,006.3 KIS,15,2,,
"Santos, Carlota, author.",Signs of the zodiac : a modern guide to the age-old wisdom of the stars,2022,133.5 SAN,15,2,,
"Manly, Carla Marie, author",Joy from fear : create the life of your dreams by making fear your friend,2019,152.46 MAN,15,2,,
"Kogan, Nataly, author.",Happier now : how to stop chasing perfection and embrace everyday moments (even the difficult ones),2018,158 KOG,15,2,,
"Adachi, Kendra, author.","The lazy genius way : embrace what matters, ditch what doesn't, and get stuff done",2020,158.1 ADA,15,2,,
NhaÌ‚Ì,How to love,2015,294.344 NHA,15,2,,
"Thubten, Gelong, author.",A monk's guide to happiness : meditation in the 21st century,2020,294.344 THU,15,2,,
